본부,지사,노선,name,종별구분,이정(km),상부형식,GPS좌표 X,GPS좌표 Y
광주전남본부,보성지사,남해선(영암순천),남해청룡2교(영암),2종,6.27,PSCI형교(PSCI),34.733699712,126.582110655
광주전남본부,보성지사,남해선(영암순천),남해한천교(순천),1종,84.12,PSC박스형교(PSCB),34.82385188,127.341513569
광주전남본부,보성지사,남해선(영암순천),남해한천교(영암),1종,84.12,PSC박스형교(PSCB),34.82385188,127.341513569
광주전남본부,보성지사,남해선(영암순천),내안교(순천),2종,36.97,PSCI형교(PSCI),34.702215492,126.894548328
광주전남본부,보성지사,남해선(영암순천),내안교(영암),2종,36.97,PSCI형교(PSCI),34.702215492,126.894548328
광주전남본부,보성지사,남해선(영암순천),노동천교(순천),1종,57.74,강판형교(SPG),34.812231943,127.072743602
광주전남본부,보성지사,남해선(영암순천),노동천교(영암),1종,57.77,강판형교(SPG),34.812231943,127.072743602
광주전남본부,보성지사,남해선(영암순천),대련교(순천),2종,53.09,PSCI형교(PSCI),34.778994646,127.037508121
광주전남본부,보성지사,남해선(영암순천),대련교(영암),2종,53.09,PSCI형교(PSCI),34.778994646,127.037508121
광주전남본부,보성지사,남해선(영암순천),덕정1교,기타,97.86,라멘교(RA),34.887205131,127.459438607
광주전남본부,보성지사,남해선(영암순천),덕정2교(순천),3종,98.37,PSCI형교(PSCI),34.887205131,127.459438607
광주전남본부,보성지사,남해선(영암순천),덕정2교(영암),3종,98.37,PSCI형교(PSCI),34.887205131,127.459438607
광주전남본부,보성지사,남해선(영암순천),덕정3교(순천),3종,98.63,PSCI형교(PSCI),34.89197217,127.468721748
광주전남본부,보성지사,남해선(영암순천),덕정3교(영암),3종,98.63,PSCI형교(PSCI),34.89197217,127.468721748
광주전남본부,보성지사,남해선(영암순천),도롱IC1교,1종,104.6,강박스형교(STB),34.904775496,127.530982213
광주전남본부,보성지사,남해선(영암순천),도롱IC2교,2종,104.72,PSCI형교(PSCI),34.904775496,127.530982213
광주전남본부,보성지사,남해선(영암순천),도롱IC3교,2종,106.25,강박스형교(STB),34.908997565,127.540538557
광주전남본부,보성지사,남해선(영암순천),도롱육교,기타,105.88,아치교(AR),34.908997565,127.540538557
